"","t","y","yl","yu"
"1",0.1,0.317835839718028,-0.0884681466139924,0.731409198624364
"2",0.15,0.255027271974894,-0.130473107808557,0.631014809788874
"3",0.2,0.33879057607784,-0.0504554277663439,0.758493161545505
"4",0.25,0.403475234742271,-0.00498104135823629,0.854727527039938
"5",0.3,0.427801814833319,-0.0254656878450052,0.939042923581456
"6",0.35,0.296500123016158,-0.167553522841663,0.785863233900791
"7",0.4,-0.00846542825051658,-0.559302743247777,0.537361868982442
"8",0.45,-0.240322342981175,-0.775833954126398,0.339253141607383
"9",0.5,-0.320426159966007,-1.00784121996998,0.417769194696991
"10",0.55,-0.408740944829509,-1.13433593233302,0.289822625965679
"11",0.6,-0.44732078711247,-1.22423338531772,0.351106081204279
"12",0.65,-0.492897371613798,-1.26450911957785,0.276620785948074
"13",0.7,-0.515206114428961,-1.20820937963043,0.163276427771766
"14",0.75,-0.52400867154081,-1.12336494167307,0.0513906828904954
"15",0.8,-0.495674110111576,-1.01470847554298,0.0911423526806004
"16",0.85,-0.396718025844706,-0.899167639595031,0.104938353291132
"17",0.9,-0.082265657157006,-0.536154616022022,0.396349105083128
