"","t","y","yl","yu"
"1",0.05,0.34722850148901,-0.226081208637448,0.851392931135652
"2",0.06,0.433296184436519,-0.122504835380945,0.911848886260459
"3",0.07,0.510846960341869,-0.0205805545403261,0.967463482594561
"4",0.08,0.580844602987679,0.0646829143941768,1.02996125999731
"5",0.09,0.644173657190506,0.142840944175605,1.08123605095971
"6",0.1,0.701620475199558,0.216538576820947,1.12706615464114
"7",0.11,0.753861392637743,0.285957275381292,1.16705581258797
"8",0.12,0.801458434906592,0.356318579518515,1.20340371504193
"9",0.13,0.844861593222747,0.397997896935514,1.24540111227131
"10",0.14,0.884416130246927,0.449201165636893,1.27396292260885
"11",0.15,0.920373397878522,0.480256531049747,1.31277493949576
"12",0.16,0.952903957501421,0.518795695038077,1.34592262095496
"13",0.17,0.982112119138935,0.567409321498698,1.37853056136032
"14",0.18,1.00805119184077,0.578316221890238,1.4032288330741
"15",0.19,1.0307387015978,0.602759215807585,1.42133065803143
"16",0.2,1.0501706461785,0.620576403288637,1.44402643921652
"17",0.21,1.06633369570598,0.63834466980874,1.45645996431693
"18",0.22,1.07921432369898,0.657766996426204,1.47398680948292
"19",0.23,1.08880427912371,0.679144050820013,1.48574037477019
"20",0.24,1.09510251094675,0.679299220267357,1.49609495321268
"21",0.25,1.09811439362785,0.688448345403886,1.51246868704693
"22",0.26,1.09784958572779,0.689280927398526,1.51166838798016
"23",0.27,1.09431988073755,0.687883211356924,1.49811816895751
"24",0.28,1.08753797289541,0.678664603988224,1.49816718974269
"25",0.29,1.07751737551065,0.648095438223165,1.49932491092926
"26",0.3,1.06427311783313,0.625117837262152,1.49789302416967
"27",0.31,1.04782256827848,0.601937592393033,1.48547485284516
"28",0.32,1.02818589349956,0.571530033784239,1.46263363124871
"29",0.33,1.0053861661126,0.525792297721176,1.44284850108523
"30",0.34,0.97944966119877,0.487378189512868,1.4249041813879
"31",0.35,0.950407012772539,0.44767192332073,1.40069971696622
"32",0.36,0.918295465308524,0.411908920177001,1.3902632790171
"33",0.37,0.88316179532225,0.348408083385641,1.35374440612882
"34",0.38,0.845065204765586,0.298510499696693,1.32005067107413
"35",0.39,0.804079833171069,0.248365947659305,1.28184062416179
"36",0.4,0.7602970623983,0.20726200341412,1.25473194417687
"37",0.41,0.713827914003869,0.128970291251504,1.22709706773627
"38",0.42,0.664805535916673,0.0552357451646544,1.17180785957362
"39",0.43,0.61338750100246,-0.0129783957731667,1.13637573620487
"40",0.44,0.559757630953364,-0.0737609593062311,1.10656615337564
"41",0.45,0.504126987973536,-0.153076829112721,1.06037967335894
"42",0.46,0.446733168834741,-0.226063907529013,1.01973501823131
"43",0.47,0.38783635244024,-0.288668946206202,0.984172702370954
"44",0.48,0.327710509297672,-0.363336318037209,0.925235522891996
"45",0.49,0.266629426372598,-0.43910053741858,0.878819831357989
"46",0.5,0.204849750754036,-0.513234009185028,0.813172924733921
"47",0.51,0.142596357375337,-0.617167340381883,0.774088758111976
"48",0.52,0.0800570886558725,-0.696658060029247,0.717708662121339
"49",0.53,0.017391686325659,-0.758473341214524,0.683491299443242
"50",0.54,-0.045246745799117,-0.841286755028091,0.637537244325562
"51",0.55,-0.107685600035581,-0.922132473546551,0.617668072764493
"52",0.56,-0.169710114460341,-1.01049145741373,0.564914504403221
"53",0.57,-0.231047118404786,-1.12628383019383,0.521558592195685
"54",0.58,-0.291353998930196,-1.20058463896162,0.485800191286149
"55",0.59,-0.350214800482967,-1.28355094027959,0.441878671240865
"56",0.6,-0.407152683145526,-1.33221951187456,0.404779950693697
"57",0.61,-0.46166761167728,-1.4332463634309,0.343393741954614
"58",0.62,-0.513290047313704,-1.51355614436935,0.309246979580898
"59",0.63,-0.561618822672845,-1.59224295686092,0.254715951705776
"60",0.64,-0.606322031469684,-1.70303519009505,0.218111107841495
"61",0.65,-0.64711797747966,-1.76222927698081,0.17400456591688
"62",0.66,-0.683762373197481,-1.74548094296655,0.124021431445249
"63",0.67,-0.716046183433092,-1.78446664327348,0.0850114636355089
"64",0.68,-0.743799193268142,-1.74854524433522,0.0303567753005635
"65",0.69,-0.766898997410068,-1.77394453397431,0.0100021132405617
"66",0.7,-0.785281871531248,-1.7751927318334,-0.00474246115584075
"67",0.71,-0.798946967352526,-1.76328622695076,-0.0257885030698652
"68",0.72,-0.807949240233517,-1.75331479415267,-0.0538554821601888
"69",0.73,-0.81238693463384,-1.71900773645929,-0.0650853139799477
"70",0.74,-0.812395477824561,-1.69799316440386,-0.0561445147964241
"71",0.75,-0.808149071982411,-1.69377298959733,-0.0576406226942748
"72",0.76,-0.799857893805655,-1.66650348396546,-0.0607842151913585
