"","t","y","yl","yu"
"1",0.1,0.369503681829329,-0.102003315530384,0.91798728583256
"2",0.15,0.292170382303695,-0.186231160305178,0.785402782647629
"3",0.2,0.347695284017718,-0.135191220327642,0.872729560719667
"4",0.25,0.454623347361698,-0.0368389127343832,1.01000899059228
"5",0.3,0.480528030553996,-0.084829178067838,1.14279334517203
"6",0.35,0.299400326629322,-0.338918446075569,0.949713443313135
"7",0.4,-0.0646985591751017,-0.693221460092347,0.595249408863928
"8",0.45,-0.324568127700967,-1.0563404689632,0.43003844817155
"9",0.5,-0.435295195161601,-1.28532486355635,0.393570661088361
"10",0.55,-0.476710723688217,-1.39248730764874,0.471954727369953
"11",0.6,-0.507124512912798,-1.46194613583782,0.487825451430663
"12",0.65,-0.562053133565696,-1.52614857957728,0.33674689105959
"13",0.7,-0.558270938870933,-1.41979126117945,0.343215191344971
"14",0.75,-0.557997509390574,-1.31025461248533,0.287011726654778
"15",0.8,-0.541360477531977,-1.23526067839077,0.141205431205591
"16",0.85,-0.436931282819724,-1.06043777132475,0.205397987216541
"17",0.9,-0.0299019414414274,-0.623345617657596,0.595654019816677
