"","t","y","yl","yu"
"1",0.1,0.109129068435143,0.0496692375824485,0.174761239788877
"2",0.15,0.154898934678564,0.0973471574266815,0.217629368702909
"3",0.2,0.196284144384387,0.136777774434959,0.257927442657861
"4",0.25,0.233939003270721,0.170202884968274,0.302400156387407
"5",0.3,0.264389972744155,0.194954302176057,0.33393907463569
"6",0.35,0.257491690367266,0.185228592596837,0.338070883315107
"7",0.4,0.181214642546475,0.0937063762795871,0.268168581388995
"8",0.45,0.0902540491796593,-0.00907629286111064,0.188474103296566
"9",0.5,0.000135131084152233,-0.103941251650393,0.106300797781512
"10",0.55,-0.0910752857534744,-0.215293544239876,0.029757510454594
"11",0.6,-0.17904206636681,-0.308498073386651,-0.058642029274106
"12",0.65,-0.252229081434441,-0.380517114204018,-0.129467777196302
"13",0.7,-0.294759619182103,-0.433500899821658,-0.170391247185102
"14",0.75,-0.312318725819715,-0.436937491053666,-0.202909802828163
"15",0.8,-0.299514852461862,-0.408992010080948,-0.188734135601671
"16",0.85,-0.258908955329138,-0.35359200920003,-0.171008586705914
"17",0.9,-0.207222194568675,-0.29685074536929,-0.121392162023485
