"","t","y","yl","yu"
"1",0.05,0.0227613411422239,-0.00662324070567828,0.0548808143196518
"2",0.06,0.0212410493121779,-0.00693734796419188,0.051243190054923
"3",0.07,0.0198087033491269,-0.00778988910413282,0.0466787586024806
"4",0.08,0.0185906604960216,-0.00829754559264078,0.0445741372028349
"5",0.09,0.0176677685437234,-0.00781442298067272,0.0427783587011129
"6",0.1,0.0170816888505987,-0.00787967496800586,0.041128452673504
"7",0.11,0.0168480132886862,-0.00792714884740851,0.0402562664109013
"8",0.12,0.0169713869599303,-0.00758413927244377,0.0395444892272941
"9",0.13,0.0174580453360855,-0.00559718230641866,0.0397404085632269
"10",0.14,0.0183224223364594,-0.00411223792176654,0.0406865060664557
"11",0.15,0.0195864106925236,-0.00330396556217664,0.0432301468331452
"12",0.16,0.0212720000973818,-0.00180286673295459,0.045391469114198
"13",0.17,0.0233898791948571,0.000806454824349384,0.0474206576182888
"14",0.18,0.0259276974042527,0.0033535343680969,0.0497013174612401
"15",0.19,0.0288417432819909,0.00581315966400432,0.0527721234731327
"16",0.2,0.0320547975137465,0.00800783363398628,0.0559759888741149
"17",0.21,0.0354611662914881,0.0107667686491368,0.0605248824698676
"18",0.22,0.0389379227659161,0.0133549202409741,0.0645244320182421
"19",0.23,0.0423597610107126,0.0169340296233784,0.069213137207025
"20",0.24,0.0456140547412475,0.0201797361154458,0.0730255544316984
"21",0.25,0.0486129098332725,0.0224920349680367,0.0757651075675315
"22",0.26,0.0513000829037606,0.0258673874260462,0.0775936010793472
"23",0.27,0.0536521992961124,0.0280624625205177,0.0799483426561296
"24",0.28,0.0556751897372498,0.0292700773007581,0.0828370326538405
"25",0.29,0.0573977921814493,0.0298826959591231,0.0839317557191445
"26",0.3,0.0588641179224788,0.0297348650555214,0.0864655028185801
"27",0.31,0.060126786281566,0.030418227607917,0.0867322619834849
"28",0.32,0.061241359993954,0.0317317022007798,0.0884569816196874
"29",0.33,0.0622621529695459,0.0325970295880981,0.0897411465739802
"30",0.34,0.0632391399528147,0.0331026277881726,0.0925808835894424
"31",0.35,0.064215648119123,0.0322800265030542,0.0937086640101409
"32",0.36,0.0652266074820841,0.0337824701801765,0.0967568553314011
"33",0.37,0.066297267659285,0.0326464082905418,0.0989186693741913
"34",0.38,0.0674424345683636,0.0319556319270205,0.101380252970215
"35",0.39,0.0686664498128957,0.0332126479204892,0.104239811364493
"36",0.4,0.069964263765696,0.034539230412664,0.105536966334675
"37",0.41,0.0713239033258275,0.0359207360373087,0.108266310362611
"38",0.42,0.0727303117024704,0.0368304551471852,0.109532677714773
"39",0.43,0.0741700054239762,0.0366863047514401,0.112130815849645
"40",0.44,0.0756354795240165,0.03725253114463,0.113839178132712
