"","t=0.4","t=0.6","6=0.8","t=0.4","t=0.6","6=0.8"
"alpha_1",0.948,0.93,0.932,1,1.57,1.44
"alpha_n/2+1",0.949,0.934,0.941,1.64,1.67,1.37
"beta_1",0.915,0.939,0.939,1.11,1.62,1.29
"beta_n/2+1",0.947,0.958,0.953,1.19,1.62,1.65
"gamma1",0.92,0.919,0.912,0.29,0.4,0.3
