"","t","y","yl","yu"
"1",0.1,0.446773450965289,-0.296476541374851,1.26802078165068
"2",0.15,0.367659729817555,-0.297332704423488,1.11079252604802
"3",0.2,0.442058764820759,-0.30112862213932,1.21473870983357
"4",0.25,0.553792874082067,-0.182864419750867,1.36722687698537
"5",0.3,0.571950186147678,-0.225185877825818,1.38643484480538
"6",0.35,0.327164012721672,-0.505352793951432,1.27472165898643
"7",0.4,-0.19841690140692,-1.23482522484731,0.770960169691974
"8",0.45,-0.496846840371646,-1.60215128733634,0.554659356823959
"9",0.5,-0.676830345300104,-1.91811817081605,0.599926270230331
"10",0.55,-0.695568614509741,-2.10713816771909,0.659292844587192
"11",0.6,-0.654487910448862,-2.01405613117598,0.777513207070933
"12",0.65,-0.674200282582248,-2.02013241674191,0.720025635552398
"13",0.7,-0.680543146949389,-2.0257788489898,0.615895933177975
"14",0.75,-0.718580489626723,-1.89865909767394,0.416029702386464
"15",0.8,-0.635142900816281,-1.72415731593735,0.394948657211516
"16",0.85,-0.549763915183862,-1.5214232682621,0.396145486805507
"17",0.9,0.0215774086361984,-0.816834565015446,0.9748453338769
