"","t","y","yl","yu"
"1",0.05,0.0233453302121942,-0.00623576026500636,0.0543683920844423
"2",0.06,0.0217833738270017,-0.00813211253180225,0.0516477128438882
"3",0.07,0.020320981130381,-0.00909346541189719,0.0489133191868376
"4",0.08,0.0190831797594347,-0.00833817998845095,0.0463170393476483
"5",0.09,0.0181466275636397,-0.00814749878950965,0.0436890998673216
"6",0.1,0.0175482383109226,-0.00758040981988553,0.0431058059249852
"7",0.11,0.0173000832387555,-0.00695881043067177,0.0423522746834878
"8",0.12,0.0174051901502401,-0.0066188302785605,0.042569300132688
"9",0.13,0.0178698472704989,-0.00515268492861814,0.0424360323303665
"10",0.14,0.0187098114615189,-0.00462711596536199,0.0423155923067718
"11",0.15,0.0199496529838012,-0.0032081062284646,0.0428039221740025
"12",0.16,0.0216159519816878,-0.00120283815440003,0.044074114992011
"13",0.17,0.0237261980932763,0.000798709546618845,0.0463629123197241
"14",0.18,0.0262761512612423,0.00237878363670675,0.0495361106896855
"15",0.19,0.02922903517732,0.00503270126506175,0.0536916509820204
"16",0.2,0.0325099562855841,0.0081579524276143,0.0569808814565172
"17",0.21,0.0360080581633192,0.0108658349443827,0.0609778294567326
"18",0.22,0.0395871097148612,0.0140863129011713,0.066519741183699
"19",0.23,0.0431028995546788,0.0169996270228264,0.0703808122536738
"20",0.24,0.0464237060259085,0.0206697181633094,0.0746323318179639
"21",0.25,0.0494489902367045,0.0238832850807702,0.0769966380151184
"22",0.26,0.0521217688675928,0.0258335458238052,0.0790354653081908
"23",0.27,0.0544318136672064,0.0286461046238242,0.0813114598093412
"24",0.28,0.0564093572180525,0.0307483907928207,0.0831527848486715
"25",0.29,0.0581115366395909,0.0328924109688674,0.0850955491394297
"26",0.3,0.059605575237749,0.0335679649063119,0.0863448532644623
"27",0.31,0.0609531898887186,0.0358551767822524,0.087860383131937
"28",0.32,0.0621998846824759,0.036407256011727,0.0910922631410917
"29",0.33,0.0633710421265068,0.0360099897219023,0.0934834973232918
"30",0.34,0.0644746751202575,0.0345855628010188,0.0950001233050073
"31",0.35,0.0655089606671941,0.0344038097086578,0.0970331099395971
"32",0.36,0.0664716515183494,0.0338953316231675,0.0982341425899605
"33",0.37,0.067368322223602,0.0340677199627716,0.0990952136410842
"34",0.38,0.0682171020882377,0.0344628080449739,0.100342334252748
"35",0.39,0.0690488449151013,0.0347510341065787,0.101080779390925
"36",0.4,0.0699031868499666,0.0338835078531781,0.102771893223632
"37",0.41,0.0708221575641473,0.0336451461008622,0.105143908703219
"38",0.42,0.0718435126975815,0.0338960678343741,0.107972655230696
"39",0.43,0.0729955987652491,0.0355134882912613,0.109513224879835
"40",0.44,0.0742945897737197,0.0357448236638627,0.11185946987809
"41",0.45,0.0757438907713418,0.0374111742923993,0.114928756963658
"42",0.46,0.0773349366114118,0.0377966794836914,0.118433187338965
"43",0.47,0.0790487486309124,0.0394470841788404,0.122349430379204
"44",0.48,0.0808581996485362,0.0393811228714132,0.123719765475397
"45",0.49,0.0827314211909665,0.0393254832225687,0.126156959416107
"46",0.5,0.0846366888517406,0.0405335102556747,0.127181483104231
"47",0.51,0.0865483936919549,0.0422826576234289,0.128309988926072
"48",0.52,0.0884527775569086,0.0424413972711241,0.131121153776197
"49",0.53,0.0903515898449938,0.0464413319312082,0.134804675656538
"50",0.54,0.0922620985010271,0.0494083120221683,0.136909721521693
"51",0.55,0.0942128934597083,0.0486644702052508,0.13991781133961
"52",0.56,0.096236233935066,0.0496720709862407,0.142277220061175
"53",0.57,0.0983588246753032,0.0513572970919268,0.144486652488312
"54",0.58,0.100593542554584,0.0519087463181821,0.147338938348154
"55",0.59,0.102934635915719,0.0535651926464746,0.149439481351105
"56",0.6,0.105358208271525,0.0566426157822545,0.152589401962839
"57",0.61,0.107828363555827,0.0591694738224045,0.156945388222056
"58",0.62,0.110307488736613,0.0622027571890083,0.159713550102095
"59",0.63,0.112767447898359,0.0654719043585543,0.162638788074052
"60",0.64,0.115197819955732,0.0673140963141418,0.16397835582482
"61",0.65,0.117608257563783,0.0702369890778432,0.167104588218183
"62",0.66,0.120024318113451,0.0734268903668772,0.168963920214316
"63",0.67,0.122478688723122,0.0760733496734972,0.170351947367985
"64",0.68,0.125001354865932,0.0809396400823778,0.17377344327368
"65",0.69,0.127612224617375,0.0847343235823257,0.174779594728551
"66",0.7,0.13031820448591,0.086906546130925,0.177724810591166
"67",0.71,0.133114656749511,0.0896948300857924,0.179516486324037
"68",0.72,0.135989639689337,0.0943566641146016,0.181205887968949
"69",0.73,0.138928945445807,0.0988772834167511,0.180807353855019
"70",0.74,0.141920536042926,0.103679377614849,0.183118375980365
"71",0.75,0.144957862083323,0.106085835960683,0.185055578112468
"72",0.76,0.148042134069545,0.110443554521479,0.185984639593951
"73",0.77,0.151183761610792,0.114861383087715,0.188010651441135
"74",0.78,0.154403099925967,0.117139018683335,0.190262043254591
"75",0.79,0.157730582598781,0.120627680953435,0.194153141730892
"76",0.8,0.161206324725341,0.12400930084819,0.198027766029134
"77",0.81,0.164879277933176,0.129079067784122,0.201723452875399
"78",0.82,0.168805968799401,0.134048903094357,0.204092862407124
"79",0.83,0.173048799638661,0.139105289374892,0.206510879407238
"80",0.84,0.177673868369805,0.145076790136803,0.208923153277649
"81",0.85,0.182748176847076,0.150962580500299,0.213678541008459
"82",0.86,0.188335744980098,0.156400512354767,0.219776980300886
"83",0.87,0.194491420741523,0.162708276732119,0.225590787844634
"84",0.88,0.20125027071024,0.169719438103692,0.231961308178696
"85",0.89,0.208609919621353,0.177586008546997,0.239536988429997
"86",0.9,0.216503851103348,0.186351133112098,0.249173197260515
"87",0.91,0.224766101221238,0.19615872223005,0.255928392676549
"88",0.92,0.233092006287332,0.203391049145324,0.266112213589973
"89",0.93,0.241004842443511,0.210703922929414,0.273215076406199
"90",0.94,0.247842523568589,0.216150905120587,0.281529575778147
"91",0.95,0.252779651367877,0.220720124236422,0.287207700486835
