"","t","y","yl","yu"
"1",0.05,0.349564274797894,-0.262479136676942,0.852952702218322
"2",0.06,0.434770228936482,-0.151798427104006,0.926020812556595
"3",0.07,0.511397077711929,-0.0352752580820911,0.980538294932339
"4",0.08,0.580435190784869,0.0608436946844306,1.03424650275857
"5",0.09,0.642808879161838,0.148980548253298,1.09130898397577
"6",0.1,0.69935316434939,0.212943005073363,1.14367673910873
"7",0.11,0.7507956813905,0.289677217540953,1.18332728556
"8",0.12,0.797745707199299,0.340009318800502,1.22170398435865
"9",0.13,0.8406910316412,0.375147990435795,1.2433494092624
"10",0.14,0.880002086323801,0.429799538042356,1.26597647841344
"11",0.15,0.915941793596047,0.475786735636347,1.310076033051
"12",0.16,0.948679284315867,0.503631650065667,1.34244508779298
"13",0.17,0.978305879394132,0.545045290796152,1.3743565099662
"14",0.18,1.00485212098603,0.572547904197317,1.39339582175053
"15",0.19,1.02830480761709,0.60212285959813,1.41298241072635
"16",0.2,1.04862293814568,0.628135169075514,1.43993630806776
"17",0.21,1.06575147415179,0.649837291282134,1.46602616663024
"18",0.22,1.07963208282125,0.653650451297325,1.47675304332715
"19",0.23,1.09021050317625,0.656617874525852,1.48192861780606
"20",0.24,1.09744076553485,0.663594271499268,1.49828671410009
"21",0.25,1.10128703491916,0.654616736841179,1.49543625134159
"22",0.26,1.10172414001256,0.648218912599068,1.50145639753154
"23",0.27,1.09873773113119,0.64020759121181,1.50163041671006
"24",0.28,1.09232455109301,0.643257300960875,1.47880146123329
"25",0.29,1.08249278595914,0.623150253204553,1.46198760359967
"26",0.3,1.06926215442812,0.622600402350319,1.4626084285245
"27",0.31,1.05266337315434,0.592830351041716,1.46107489129939
"28",0.32,1.03273683431895,0.56789923886745,1.44949296048489
"29",0.33,1.00953064158482,0.540167564813446,1.42784625982242
"30",0.34,0.9830984466179,0.492472010031573,1.40602551957231
"31",0.35,0.953497691240537,0.45380648626952,1.37930627861822
"32",0.36,0.920788853403311,0.41609798643624,1.34407078623743
"33",0.37,0.885036174958012,0.380674668234911,1.33403096934746
"34",0.38,0.846310131539725,0.348119626163017,1.30033157345445
"35",0.39,0.804691476535719,0.292510408168265,1.26926895083953
"36",0.4,0.760276013424989,0.244234608346144,1.23888751425183
"37",0.41,0.713178651388614,0.176672130187952,1.21528908417954
"38",0.42,0.663535340526997,0.124017767669918,1.1937344330202
"39",0.43,0.611502372821289,0.0482346704042848,1.16655742998021
"40",0.44,0.557253732768883,-0.0261084420500464,1.12593057546812
"41",0.45,0.500977789460633,-0.125988786307457,1.08979135412835
"42",0.46,0.442874267756283,-0.222441607429029,1.0349876334533
"43",0.47,0.38315168641137,-0.305188159998636,0.993859082071974
"44",0.48,0.322025280454611,-0.376391420456049,0.94986479754248
"45",0.49,0.259716273904002,-0.498225079681266,0.898326082226085
"46",0.5,0.19645461606556,-0.570347581675891,0.841100269713524
"47",0.51,0.132487545564495,-0.670347908716319,0.775216330016322
"48",0.52,0.0680940555560073,-0.754160701559698,0.708906215317172
"49",0.53,0.00359926785764833,-0.843556345454974,0.649882404560146
"50",0.54,-0.0606246366379143,-0.959134974082472,0.603947319015632
"51",0.55,-0.124178249188855,-1.00880125124045,0.561793158892662
"52",0.56,-0.186657196488148,-1.07815674339265,0.512399397524823
"53",0.57,-0.247659415087891,-1.16564206507785,0.466958960705971
"54",0.58,-0.306792655973876,-1.28864490918063,0.439493080131949
"55",0.59,-0.363691648766927,-1.40284178174383,0.38728141747655
"56",0.6,-0.418029143473228,-1.47991967449623,0.342969314119441
"57",0.61,-0.46950845988717,-1.56043172053411,0.300421806192442
"58",0.62,-0.517844633836659,-1.63520488407724,0.26762164939066
"59",0.63,-0.562752729007667,-1.67422743572598,0.227037623312184
"60",0.64,-0.60395692776473,-1.68454449117175,0.181418378968914
"61",0.65,-0.641217780564301,-1.68975643946193,0.120120781867892
"62",0.66,-0.674362499871259,-1.74470686294774,0.0766830393325455
"63",0.67,-0.703303381884169,-1.72972499212577,0.0340740437882811
"64",0.68,-0.728035177637533,-1.76457936838346,-0.00138095563818955
"65",0.69,-0.748609558815185,-1.76434266317836,-0.0274706968064788
"66",0.7,-0.765096388589345,-1.77332594214359,-0.028606039669566
"67",0.71,-0.777549865848426,-1.74628640703606,-0.0298403885953908
"68",0.72,-0.785995436172873,-1.68675914839815,-0.0108345753900766
"69",0.73,-0.790442441459141,-1.67390622962078,-0.0193840037647805
"70",0.74,-0.790912573114328,-1.68956711428867,-0.0528230242875087
"71",0.75,-0.787464966381377,-1.66296503316036,-0.0618727642017155
"72",0.76,-0.78020450040107,-1.64678568007938,-0.0696201001814015
"73",0.77,-0.769275089312393,-1.63649658338155,-0.0555533729607751
"74",0.78,-0.754849668448129,-1.58033202674357,-0.0408064432524619
"75",0.79,-0.737127908592034,-1.5138621108407,-0.0369753085643403
"76",0.8,-0.716346712726105,-1.49129219166308,-0.0357359344278935
"77",0.81,-0.692802315116681,-1.46985362913612,-0.0224772733422741
"78",0.82,-0.666878587880464,-1.44514047129199,-0.00601526632065768
"79",0.83,-0.639075595143729,-1.41351779550031,0.0115298945887103
"80",0.84,-0.61003457779671,-1.3525164761119,0.0420202828908686
"81",0.85,-0.580556586802136,-1.33242538861854,0.0710670519797573
"82",0.86,-0.551610862230466,-1.27267085320264,0.0927537452872969
"83",0.87,-0.524328669746101,-1.25845456122242,0.099203685442891
"84",0.88,-0.499980172211292,-1.2408394328739,0.118086164724297
"85",0.89,-0.47993426835509,-1.22664488608692,0.141037147407833
"86",0.9,-0.465602674735677,-1.20554043161059,0.157014191807217
"87",0.91,-0.458370760979688,-1.21018429409145,0.160640150994792
"88",0.92,-0.459520416135868,-1.20194179382444,0.159575712877784
"89",0.93,-0.470155469840136,-1.21395435161233,0.159578381078991
"90",0.94,-0.491147531471784,-1.24892412769025,0.145745020054896
"91",0.95,-0.523126548883719,-1.27759932936469,0.147077175480108
