"","t=0.4","t=0.6","6=0.8","t=0.4","t=0.6","6=0.8"
"alpha_1",0.944,0.936,0.944,1,1.59,1.44
"alpha_n/2+1",0.945,0.947,0.956,1.65,1.68,1.37
"beta_1",0.916,0.936,0.938,1.11,1.62,1.29
"beta_n/2+1",0.947,0.949,0.948,1.18,1.63,1.66
"gamma1",0.93,0.923,0.911,0.29,0.4,0.29
