"","t","y","yl","yu"
"1",0.1,0.644502414587992,0.125211500700625,1.08675637529297
"2",0.15,0.870474582097315,0.416621781608512,1.28829573461924
"3",0.2,0.94473498864989,0.500119336033822,1.33702792666432
"4",0.25,0.944024691472641,0.44263722664716,1.37904712949867
"5",0.3,0.881460814486959,0.3706686507112,1.34054356423482
"6",0.35,0.847782760086043,0.311609625414707,1.29964911729417
"7",0.4,0.826532787475337,0.231390258221217,1.38865318025146
"8",0.45,0.660690098800822,-0.0634081004267902,1.30876762001795
"9",0.5,0.374919829815135,-0.298603471221501,1.08901709222178
"10",0.55,0.0171749195705184,-0.894616719263893,0.792675110075026
"11",0.6,-0.309692302538185,-1.34882278348398,0.552899672706892
"12",0.65,-0.577889770100369,-1.72000145643599,0.286930511463807
"13",0.7,-0.725043148702324,-1.81512060206958,0.10995131234789
"14",0.75,-0.747671241629602,-1.70192950143387,0.119883454023256
"15",0.8,-0.675400323663849,-1.59211829476493,0.153509746421025
"16",0.85,-0.5430786794183,-1.3232553047892,0.162459331292836
"17",0.9,-0.515154265053011,-1.25841971945973,0.168861772984815
