"","t=0.4","t=0.6","6=0.8","t=0.4","t=0.6","6=0.8"
"alpha_1",0.953,0.937,0.94,1.06,1.61,1.5
"alpha_n/2+1",0.94,0.938,0.93,1.62,1.71,1.44
"beta_1",0.927,0.942,0.94,1.17,1.63,1.36
"beta_n/2+1",0.943,0.956,0.935,1.22,1.65,1.68
"gamma1",0.921,0.918,0.903,0.36,0.48,0.36
