"","t=0.4","t=0.6","6=0.8","t=0.4","t=0.6","6=0.8"
"alpha_1",0.946,0.934,0.94,0.95,1.55,1.39
"alpha_n/2+1",0.943,0.957,0.948,1.64,1.66,1.3
"beta_1",0.91,0.942,0.948,1.08,1.59,1.22
"beta_n/2+1",0.949,0.945,0.932,1.16,1.61,1.63
"gamma1",0.926,0.933,0.925,0.22,0.31,0.23
