"","t=0.4","t=0.6","6=0.8","t=0.4","t=0.6","6=0.8"
"alpha_1",0.944,0.929,0.929,1,1.58,1.44
"alpha_n/2+1",0.94,0.927,0.936,1.63,1.67,1.38
"beta_1",0.927,0.94,0.948,1.12,1.62,1.29
"beta_n/2+1",0.945,0.93,0.953,1.18,1.62,1.66
"gamma1",0.921,0.932,0.916,0.29,0.4,0.3
