"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"78",37,1,16,14,0,3,42,21,14,19,1,4,10,8,0,4,37,0,4,0,5,0,0,3,2,3,0,16,10,82,0,21,10,1,6,7,0,1,11,11,29,13,3,15,1,5,1,10,2,0,8,39,18,0,19,13,77,2,46,2,1,0,1,6,39,73,238,43,15,27,1,32,0,17,67,0,4,150,0,24,32,11,0,55,52,10,53,11,5,2,12,2,42,0,0,13,56,17,27,4
"79",7,2,5,139,0,1,7,4,12,0,28,0,4,1,0,2,0,1,2,0,0,33,0,54,20,109,0,2,0,3,22,6,0,0,0,5,0,0,0,9,0,1,0,0,0,0,0,415,1,245,6,6,1,0,6,0,6,60,9,1,0,0,1,3,0,1,7,6,2,0,0,0,0,1,0,1,0,0,175,0,3,0,0,2,1,10,5,22,51,2,38,6,2,0,0,0,1,1,0,1
"80",47,9,41,104,1,36,58,5,33,35,8,16,114,43,2,70,7,0,96,0,111,0,0,2,5,7,0,174,89,125,1,131,13,2,28,58,0,0,81,120,22,112,2,142,5,2,3,1,4,0,31,32,161,1,155,76,56,10,82,20,39,0,86,68,126,209,366,45,55,20,0,196,0,49,53,0,88,25,0,168,64,68,0,118,30,5,22,26,70,3,25,17,53,0,1,1,65,76,195,65
"81",37,18,21,76,1,38,34,2,24,9,2,33,81,91,3,44,8,18,178,0,38,2,0,41,45,7,0,95,31,109,7,60,9,8,30,109,0,0,86,89,2,107,0,69,9,7,0,25,57,4,52,53,80,10,142,104,30,2,29,17,9,0,31,101,77,132,69,25,73,38,0,96,0,155,66,1,90,47,3,72,113,21,0,97,39,8,64,25,55,1,2,15,70,0,1,7,64,113,223,98
"82",38,45,30,50,1,35,46,4,21,14,5,26,200,107,5,59,1,2,199,0,28,3,0,2,5,18,0,59,52,21,2,38,6,9,56,105,0,1,121,139,14,89,0,23,11,1,1,3,26,28,32,115,76,3,256,133,40,2,35,19,22,0,47,199,54,49,73,25,75,12,0,56,0,109,62,0,88,36,1,64,23,104,0,38,39,2,22,12,63,1,7,19,44,0,11,1,96,24,110,106
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",78,4,39,38,0,3,175,21,16,43,10,6,17,5,0,4,8,0,13,0,25,0,0,33,0,15,0,26,9,96,2,50,0,5,3,15,0,0,8,19,2,12,0,44,0,1,0,4,5,5,14,41,31,1,26,13,342,4,204,3,2,0,11,8,210,35,78,314,34,69,10,52,0,29,65,0,14,37,0,37,52,18,0,1288,48,52,14,41,45,3,20,14,8,0,1,1,61,8,54,34
"85",58,7,38,44,0,41,53,4,23,10,3,10,66,24,1,35,1,0,131,0,36,1,0,15,9,2,0,226,31,49,0,140,7,6,15,46,0,2,62,129,2,111,0,286,6,1,0,1,11,2,27,18,140,1,93,102,76,3,69,14,12,4,22,71,48,180,108,71,55,20,0,97,0,77,81,4,69,70,2,12,23,19,0,46,153,11,53,15,59,2,11,14,36,0,1,0,85,21,110,53
"86",70,3,15,24,1,13,120,11,36,3,49,1,20,7,0,2,0,5,47,3,7,24,0,111,18,71,0,44,1,61,10,18,0,0,4,19,0,0,11,12,0,4,0,13,0,0,0,24,0,95,15,16,15,0,22,15,101,41,127,0,0,1,10,7,50,9,40,118,6,12,0,6,3,4,20,4,9,3,23,18,4,2,0,56,7,370,34,1608,171,187,366,20,33,0,0,0,34,3,9,7
"87",70,47,61,124,68,81,48,8,89,21,63,8,106,43,3,30,0,2,84,5,38,6,0,29,21,77,0,88,22,32,23,24,8,11,20,19,0,6,97,48,5,81,0,22,8,0,0,9,8,17,26,11,28,3,102,29,28,41,33,9,5,0,31,61,22,88,59,26,33,12,0,6,0,22,23,4,20,15,21,20,26,12,0,26,20,22,429,53,475,7,19,288,206,0,7,1,30,24,5,43
