"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"21",153,79,116,280,2,59,75,5,165,146,17,116,223,312,12,90,2,5,85,1,268,0,0,4,4,27,0,177,112,24,1,191,16,19,80,91,1,11,293,452,8,108,9,62,28,5,2,6,26,3,189,331,242,1,581,98,38,6,48,27,14,0,183,250,156,128,236,16,205,3,0,174,0,130,78,2,177,17,4,118,49,47,0,37,25,13,42,20,188,4,9,96,185,0,17,0,22,66,95,159
"22",10,0,2,97,0,3,11,11,3,1,50,2,57,2,0,1,0,0,4,0,0,94,0,78,52,42,0,1,1,6,46,4,0,3,0,63,0,0,2,1,0,0,0,1,0,0,0,62,0,24,3,2,0,0,3,1,10,139,10,0,2,1,1,3,11,1,6,1,2,2,0,1,0,1,6,0,1,0,33,3,4,4,0,6,1,43,10,98,68,6,58,0,1,0,0,0,5,2,1,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",33,5,12,14,1,0,31,2,41,1,113,0,7,2,0,1,0,1,8,0,13,162,0,281,38,205,0,32,2,112,39,16,1,0,2,56,0,1,83,10,0,7,0,4,0,0,0,37,0,43,27,8,28,0,2,4,16,55,106,0,0,0,12,8,28,9,84,4,5,2,0,7,0,2,44,1,4,1,72,3,20,1,0,20,7,158,15,103,52,26,63,1,4,0,1,12,42,2,2,1
"25",11,0,3,5,0,0,2,5,0,1,19,0,1,1,0,0,0,0,1,0,0,37,0,31,103,40,0,3,0,6,0,1,0,1,0,14,0,0,0,1,0,0,0,0,0,0,0,53,0,26,5,0,0,0,13,0,1,45,1,0,0,2,82,2,8,0,23,1,0,0,0,1,0,0,9,0,0,0,19,2,11,8,0,2,3,32,36,53,39,10,29,2,2,0,1,0,10,0,0,1
"26",29,1,14,32,7,26,20,34,61,8,79,19,13,30,0,8,0,3,6,7,8,33,0,192,39,316,0,52,5,6,42,12,4,1,3,17,0,1,34,36,0,8,0,16,1,0,0,113,1,104,4,6,22,2,29,16,15,111,31,5,1,0,24,9,13,5,40,10,12,4,1,4,2,4,5,7,9,9,98,8,6,3,0,9,3,64,44,68,236,22,53,18,24,0,136,0,5,5,2,9
"27",1,0,1,0,0,0,1,0,0,4,0,9,0,1,0,4,0,0,0,0,2,0,0,0,0,0,33,0,8,0,0,0,0,0,0,0,2,0,2,1,14,1,12,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"28",77,9,52,112,0,26,116,16,94,26,24,74,155,92,20,85,0,0,100,0,55,5,0,12,9,10,0,451,24,50,1,56,7,3,35,94,0,1,81,149,9,100,1,62,3,5,1,16,10,22,89,67,63,3,132,140,120,28,72,21,7,0,69,233,160,65,214,51,70,40,0,75,2,53,179,0,35,22,4,253,80,36,0,47,172,26,95,29,173,3,9,68,128,0,1,0,71,50,45,36
"29",29,168,52,100,1,245,37,0,43,91,7,236,123,148,27,120,4,1,22,1,429,1,0,1,0,10,0,52,138,40,0,108,70,108,357,76,0,54,407,532,88,663,5,51,149,24,0,1,65,1,83,125,195,1,772,124,42,0,17,210,66,0,86,325,53,91,109,9,155,2,0,232,0,158,27,0,73,3,0,63,36,49,0,14,40,1,12,5,53,0,13,37,75,0,10,0,18,16,101,268
"30",127,2,45,145,0,19,116,28,47,17,64,20,150,68,1,13,6,2,39,0,16,0,0,38,5,17,0,33,14,662,5,157,7,4,14,162,0,4,87,116,4,63,0,52,27,2,10,12,3,20,60,37,79,1,164,58,298,18,190,20,6,0,57,64,223,57,219,183,49,43,0,54,0,30,250,38,62,50,1,103,44,24,0,86,46,32,29,86,110,9,35,6,25,0,2,16,64,29,52,37
"31",7,0,10,5,0,2,2,6,2,0,6,0,0,0,0,0,0,0,0,0,1,31,0,59,0,48,0,2,0,7,56,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,59,0,65,7,2,2,0,2,0,1,62,1,0,0,0,0,0,0,0,17,4,2,0,0,2,0,0,1,0,0,0,16,0,3,4,0,2,1,16,41,69,34,0,23,1,0,0,0,0,3,0,0,0
"32",71,7,105,141,1,35,135,16,96,37,20,42,112,57,10,96,1,5,212,1,87,1,0,12,1,17,0,57,49,52,0,449,16,17,59,161,0,0,172,306,57,226,1,75,27,3,6,9,29,8,78,47,99,1,260,169,146,19,92,19,99,0,64,96,175,97,156,124,123,80,0,90,0,53,134,1,64,18,3,246,72,150,0,52,140,17,33,102,85,5,34,45,44,0,1,5,66,45,67,43
"33",22,58,27,33,10,92,15,3,38,118,7,96,68,44,13,26,0,1,16,5,49,0,0,3,2,4,0,29,287,24,1,54,89,23,419,34,0,23,177,173,30,519,9,78,173,7,2,0,132,1,36,43,41,0,114,246,19,0,10,48,97,0,42,80,139,145,100,5,224,8,0,55,0,87,72,0,62,34,0,44,26,20,0,6,17,0,26,4,25,0,2,22,108,0,16,0,16,14,37,84
"34",21,65,21,29,19,99,9,4,14,347,9,93,60,200,20,30,0,6,30,36,68,0,0,3,0,5,0,49,201,19,0,106,36,100,133,21,3,23,244,139,74,592,23,28,203,16,0,1,90,3,66,91,83,1,143,65,21,0,49,68,34,0,24,77,78,61,112,5,236,8,0,42,2,77,52,5,55,12,0,81,28,14,0,4,35,0,38,0,35,0,2,27,79,0,12,0,12,15,52,104
"35",46,304,68,106,49,329,24,6,46,1873,5,949,196,191,86,133,0,15,86,24,174,0,0,2,0,8,0,191,713,31,0,97,518,137,369,187,1,84,481,337,321,1144,113,87,989,81,0,1,806,5,178,160,249,0,452,291,42,2,67,327,108,0,131,166,61,80,181,15,377,10,0,196,3,149,73,2,475,4,0,57,70,77,0,15,67,3,27,4,123,0,11,96,178,0,191,0,25,77,212,352
"36",69,20,97,76,1,110,96,8,69,62,29,43,194,163,10,129,2,3,154,0,124,35,0,20,14,15,0,132,85,168,4,113,25,14,63,320,0,1,283,357,21,277,2,79,27,22,0,2,15,11,41,49,41,0,246,105,181,11,59,28,93,0,64,149,349,263,249,70,114,21,2,106,0,135,48,4,72,13,7,67,81,76,0,103,54,47,54,32,100,2,10,102,82,0,2,0,38,31,70,81
"37",0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,6,4,0,1,4,0,5,1,4,3,0,0,2,0,1,0,2,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",11,27,13,9,1,27,0,0,0,35,0,39,8,20,5,26,0,0,17,0,37,0,0,0,0,0,0,5,79,14,0,5,43,9,130,8,2,36,38,27,27,91,6,4,115,15,0,0,41,1,6,10,84,0,45,36,7,0,2,32,28,0,4,20,5,13,14,1,52,1,0,25,0,12,3,0,46,0,0,2,8,12,0,0,3,0,7,5,5,0,0,6,12,0,6,0,2,1,26,34
"39",132,77,103,172,7,299,78,8,95,118,16,115,468,397,17,150,1,4,114,2,535,2,0,41,0,34,0,124,278,56,2,111,37,85,225,201,0,14,438,637,24,466,9,130,74,9,1,5,54,20,225,144,196,1,517,181,121,9,101,92,41,0,178,446,110,191,166,35,411,15,0,283,0,498,164,6,270,9,2,61,40,93,0,24,52,16,59,30,150,2,12,144,229,0,176,2,39,50,259,221
"40",165,84,139,190,5,347,191,6,104,95,27,110,526,218,9,240,1,105,271,1,408,1,0,25,5,45,0,173,362,156,1,210,51,34,156,229,0,12,525,486,39,675,4,186,71,11,4,9,60,16,442,101,128,1,162,227,177,5,92,39,43,0,110,254,275,244,176,85,193,18,1,378,1,272,141,2,154,9,3,119,70,92,0,51,95,15,129,28,216,5,20,275,260,0,148,2,53,57,100,172
"41",7,9,12,25,5,13,17,0,8,14,0,24,18,7,7,3,0,27,150,1,17,1,0,0,0,0,13,59,66,31,0,61,36,62,212,13,4,28,29,32,100,122,86,23,129,35,0,0,26,0,18,80,59,0,49,8,22,0,10,59,15,0,9,11,19,30,38,0,24,3,0,133,0,18,24,0,23,2,0,4,7,30,0,0,13,1,2,0,21,0,0,2,7,0,3,0,1,89,12,42
"42",61,236,78,352,7,226,50,3,51,264,12,259,294,219,38,115,0,9,138,6,101,5,0,6,4,30,0,169,289,84,1,189,135,205,528,157,0,51,519,749,82,320,45,128,258,28,0,16,152,7,238,335,372,0,909,159,121,10,83,175,96,0,188,519,151,325,236,24,442,12,0,278,1,253,180,0,514,17,5,111,74,91,0,23,76,23,203,17,227,2,6,92,330,0,93,1,29,102,377,510
"43",2,3,0,3,0,8,0,0,1,19,0,35,59,6,14,12,0,1,7,2,20,0,0,0,0,0,11,2,15,1,0,26,10,90,134,2,6,38,16,14,72,44,164,8,99,67,0,0,57,0,3,2,5,0,9,3,12,0,4,48,24,0,5,4,1,1,8,0,13,1,0,9,0,5,2,0,55,0,0,0,2,1,0,0,0,0,0,1,3,0,0,3,2,0,1,0,0,6,4,8
"44",38,6,88,145,0,20,111,4,28,24,5,27,204,94,6,50,4,1,93,1,51,8,0,6,0,11,0,80,38,66,0,53,2,7,30,144,0,4,127,165,24,138,3,273,12,1,0,6,23,14,45,23,67,5,147,122,147,13,94,5,21,0,71,104,174,72,122,80,195,27,1,68,1,65,260,2,60,38,4,137,71,34,0,25,280,17,42,124,109,5,16,20,47,0,1,3,111,27,38,35
"45",17,40,39,74,5,85,11,1,43,135,7,185,68,41,40,40,0,6,25,1,47,0,0,3,1,4,2,21,147,38,0,21,91,190,944,32,3,144,245,142,117,459,83,14,313,146,0,0,97,2,26,64,135,1,180,124,14,0,12,156,128,0,44,51,14,74,73,2,88,7,0,96,1,55,64,2,56,0,0,5,37,39,0,4,26,0,13,0,19,0,1,16,16,0,12,0,12,238,49,234
"46",4,1,3,4,1,5,3,1,1,9,1,12,16,2,5,13,0,0,13,0,10,2,0,0,0,0,1,38,12,6,0,11,16,33,106,42,3,24,12,4,28,76,43,9,161,64,0,0,62,0,4,8,37,0,22,10,1,0,4,14,12,0,0,2,6,1,22,0,10,1,0,8,1,3,20,0,11,0,0,3,2,1,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,1,1,6
"47",1,0,2,0,0,0,4,3,1,0,0,0,1,0,0,0,128,0,4,0,0,2,0,0,1,3,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,2,0,0,0,0,267,0,8,0,0,7,7,0,1,0,60,0,3,0,0,0,3,0,1,0,3,4,0,5,7,0,0,1,1,0,0,0,0,6,0,0,0,4,1,0,0,5,1,0,1,0,0,0,0,124,0,1,1,0
"48",25,2,17,59,3,1,30,2,58,0,44,1,2,3,0,6,0,0,0,1,3,57,0,31,52,107,0,105,1,10,56,10,0,1,3,2,0,1,4,11,0,5,0,15,0,0,0,164,1,72,5,4,4,0,9,2,17,67,12,0,0,0,3,2,7,3,14,23,3,10,0,4,1,1,13,0,2,3,735,1,5,0,0,9,2,31,14,52,61,11,60,4,2,0,0,0,3,1,3,0
"49",41,61,75,52,3,129,13,2,30,224,5,211,53,53,16,23,5,1,18,1,95,0,0,1,0,3,0,58,180,19,0,113,93,148,447,41,3,23,155,114,25,385,15,68,150,27,15,0,167,1,35,80,178,1,340,130,32,0,21,128,299,0,89,101,51,59,86,4,137,4,0,86,0,71,41,0,119,1,0,67,60,50,0,5,17,5,20,2,26,0,4,22,38,0,51,1,7,16,52,146
"50",28,32,161,17,2,8,20,1,37,1,66,1,6,4,0,2,0,0,10,0,2,14,0,45,13,122,0,50,3,18,33,6,0,2,1,2,0,0,11,12,0,36,0,5,2,1,0,50,0,136,5,4,75,0,4,5,6,43,13,0,0,0,4,3,17,9,4,13,2,2,0,7,2,2,8,2,1,0,283,3,0,0,0,1,3,146,10,100,72,3,36,11,7,0,2,0,0,1,3,0
"51",60,35,57,73,6,55,75,22,30,39,11,21,105,124,0,54,0,6,55,0,93,2,0,20,6,4,0,75,34,116,11,77,10,12,56,67,0,6,183,278,11,137,0,38,37,1,1,5,23,12,289,41,79,1,290,182,165,3,88,177,42,0,85,103,82,144,96,62,138,18,0,99,0,82,36,1,65,7,39,186,46,47,0,19,37,32,36,13,132,2,18,24,53,0,3,1,36,34,73,64
"52",47,14,84,84,2,53,46,6,38,28,105,26,107,50,3,33,3,7,129,0,276,0,0,5,0,10,0,117,72,54,2,59,13,11,49,74,0,3,194,147,23,280,3,73,24,2,5,4,37,3,31,270,136,0,608,246,147,8,73,67,69,0,181,136,105,160,141,51,109,17,3,72,0,293,57,1,77,32,26,36,50,68,0,31,34,23,39,61,58,4,11,26,37,0,0,1,72,49,79,83
"53",109,37,113,72,1,89,133,11,63,55,23,62,167,65,9,61,3,2,44,3,140,3,0,6,4,18,0,255,148,80,0,173,9,9,54,54,0,5,212,106,14,502,1,170,16,4,7,3,33,9,81,103,392,0,393,374,222,4,181,50,27,0,157,155,149,232,231,69,76,46,1,232,0,175,189,1,114,22,5,152,110,112,0,57,202,36,27,75,71,1,32,32,38,0,6,0,54,106,87,94
"54",6,2,1,0,0,1,2,1,2,1,0,0,1,1,0,0,4,0,1,0,2,1,0,0,2,0,0,2,1,12,0,0,0,1,0,0,0,0,1,5,0,4,0,2,1,0,3,0,0,0,1,2,1,86,2,0,16,0,3,1,0,0,3,1,1,6,16,28,9,0,0,136,0,7,3,0,1,0,0,3,2,4,0,11,0,4,1,1,0,0,0,0,0,0,0,0,6,35,13,9
"55",143,167,128,192,3,367,116,13,91,172,29,105,866,526,13,287,2,13,273,1,553,1,0,8,5,40,0,217,632,86,1,210,58,66,182,191,1,25,447,211,31,795,15,159,91,18,2,5,142,5,291,516,388,0,591,1308,168,17,124,256,252,0,477,930,241,310,256,94,421,20,1,386,2,1011,278,0,466,10,13,170,109,190,0,107,82,17,39,47,123,5,15,285,397,0,14,4,93,76,557,732
"56",60,135,66,92,5,290,43,7,26,130,7,135,104,105,7,58,2,0,87,0,168,1,0,2,0,22,0,60,104,35,0,61,84,65,175,105,0,29,249,275,20,204,7,93,74,2,4,2,62,3,97,139,429,2,1059,214,85,1,63,94,57,0,119,356,248,132,154,22,215,15,0,173,0,214,36,0,144,5,0,70,122,118,0,15,50,7,44,12,92,0,12,30,73,0,8,1,27,42,219,385
"57",239,8,117,145,4,28,369,57,73,13,12,10,76,34,5,19,11,0,65,0,36,2,0,18,2,22,0,76,20,230,3,205,8,10,17,121,0,3,84,129,2,67,1,88,7,1,70,4,18,8,131,88,137,9,137,67,3233,7,653,12,2,0,37,63,426,82,136,772,54,132,3,56,0,80,180,2,61,46,3,44,34,15,0,290,51,74,21,70,72,15,34,28,13,0,2,9,116,26,61,41
"58",12,2,21,41,1,0,21,5,3,0,20,1,3,4,1,2,0,0,3,0,4,136,0,39,61,114,0,11,0,31,49,10,0,0,0,14,0,0,5,2,0,1,0,48,1,0,0,97,0,91,0,4,5,0,5,0,6,272,7,0,0,0,0,3,9,4,21,12,5,0,0,1,0,0,4,0,3,4,70,8,0,0,0,7,1,48,66,120,170,31,72,19,5,0,0,0,4,0,4,1
"59",228,4,84,107,0,24,359,64,64,27,10,14,56,41,0,37,8,0,45,0,54,3,0,48,4,20,0,60,13,159,7,159,1,6,9,77,0,2,94,99,2,62,1,77,6,0,2,10,18,4,96,88,169,4,134,81,713,11,2575,17,18,0,63,63,346,85,191,725,72,119,4,65,0,53,156,6,46,36,14,113,40,32,0,187,67,101,46,137,62,17,38,20,22,0,0,14,114,34,71,66
"60",24,80,50,71,9,147,41,5,45,296,6,297,60,77,37,53,0,8,72,17,80,0,0,4,0,12,0,124,466,132,0,104,76,159,479,116,4,38,239,125,61,540,30,89,280,71,2,2,228,0,259,112,288,0,447,344,69,0,46,247,99,0,156,314,76,326,316,16,341,16,0,174,7,183,65,3,367,14,1,39,171,174,0,13,52,2,43,4,65,2,7,17,45,0,74,1,27,65,118,422
"61",24,151,41,21,9,71,11,3,20,105,1,171,33,104,18,25,3,17,44,5,48,0,0,1,0,7,1,52,166,28,0,65,80,98,147,71,5,21,123,88,100,228,52,117,194,21,0,1,271,2,39,135,50,1,188,166,19,1,37,73,135,0,47,134,37,67,88,6,99,4,0,109,0,118,14,2,153,5,0,24,39,32,0,8,15,0,52,1,46,1,5,8,34,0,22,0,47,55,83,274
"62",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0
"63",34,35,72,36,2,135,12,6,46,33,14,15,98,93,3,115,0,2,104,0,244,2,0,3,0,15,0,179,84,52,0,59,10,10,41,97,0,9,128,167,9,158,5,75,37,0,1,2,36,0,39,204,117,0,474,157,46,0,59,47,76,0,153,117,108,236,219,23,134,12,0,110,0,178,49,0,108,3,0,34,30,108,0,6,20,9,14,9,56,1,7,73,41,0,1,3,20,61,50,207
